SD = 1
W/Buffer erlang index: 9, erlang: 5500, BBP: 0.204305, general blocking: 0.065205, general blocking (original): 0.0845579, buffer size: 65205, reallocated: 19353, Average try per allocated element: 95.4987, Average service time: 67.6167, Average service time (ALL): 69.6225, Average buffer size: 32374.2, searchDepth: 2, maxBufferSize: 2147483647, pushed: 818309

SD = 5
W/Buffer erlang index: 0, erlang: 1000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 5, maxBufferSize: 2147483647, pushed: 0
W/Buffer erlang index: 1, erlang: 1500, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 5, maxBufferSize: 2147483647, pushed: 0
W/Buffer erlang index: 2, erlang: 2000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 5, maxBufferSize: 2147483647, pushed: 0
W/Buffer erlang index: 3, erlang: 2500, BBP: 0, general blocking: 0, general blocking (original): 9.99999e-05, buffer size: 0, reallocated: 100, Average try per allocated element: 23.74, Average service time: 0.00950982, Average service time (ALL): 0.00950982, Average buffer size: 0.00237708, searchDepth: 5, maxBufferSize: 2147483647, pushed: 100
W/Buffer erlang index: 4, erlang: 3000, BBP: 0, general blocking: 0, general blocking (original): 0.013585, buffer size: 0, reallocated: 13585, Average try per allocated element: 43.6238, Average service time: 0.0170605, Average service time (ALL): 0.0170605, Average buffer size: 0.695191, searchDepth: 5, maxBufferSize: 2147483647, pushed: 13685
W/Buffer erlang index: 5, erlang: 3500, BBP: 0.000338425, general blocking: 0.000108, general blocking (original): 0.0820729, buffer size: 108, reallocated: 81965, Average try per allocated element: 57.0299, Average service time: 0.583395, Average service time (ALL): 0.582944, Average buffer size: 167.428, searchDepth: 5, maxBufferSize: 2147483647, pushed: 95758
W/Buffer erlang index: 6, erlang: 4000, BBP: 0.063721, general blocking: 0.020335, general blocking (original): 0.0872799, buffer size: 20335, reallocated: 66945, Average try per allocated element: 70.6476, Average service time: 28.8061, Average service time (ALL): 28.7696, Average buffer size: 10042.5, searchDepth: 5, maxBufferSize: 2147483647, pushed: 183038
W/Buffer erlang index: 7, erlang: 4500, BBP: 0.11681, general blocking: 0.037277, general blocking (original): 0.0913249, buffer size: 37277, reallocated: 54048, Average try per allocated element: 86.5964, Average service time: 44.7271, Average service time (ALL): 44.9617, Average buffer size: 18474.7, searchDepth: 5, maxBufferSize: 2147483647, pushed: 274363
W/Buffer erlang index: 8, erlang: 5000, BBP: 0.16248, general blocking: 0.051852, general blocking (original): 0.0935689, buffer size: 51852, reallocated: 41717, Average try per allocated element: 111.059, Average service time: 54.0332, Average service time (ALL): 55.0551, Average buffer size: 25753.2, searchDepth: 5, maxBufferSize: 2147483647, pushed: 367932
