W/Buffer erlang index: 0, erlang: 1000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 1, maxBufferSize: 2147483647, pushed: 0
W/Buffer erlang index: 6, erlang: 4000, BBP: 0.126951, general blocking: 0.04105, general blocking (original): 0.0599979, buffer size: 41050, reallocated: 18948, Average try per allocated element: 250.355, Average service time: 84.8348, Average service time (ALL): 84.3901, Average buffer size: 20249.8, searchDepth: 5, maxBufferSize: 2147483647, pushed: 169704
W/Buffer erlang index: 7, erlang: 4500, BBP: 0.167696, general blocking: 0.054373, general blocking (original): 0.0650879, buffer size: 54373, reallocated: 10715, Average try per allocated element: 437.5, Average service time: 86.3155, Average service time (ALL): 91.8174, Average buffer size: 26888.7, searchDepth: 5, maxBufferSize: 2147483647, pushed: 234792
W/Buffer erlang index: 8, erlang: 5000, BBP: 0.20153, general blocking: 0.065715, general blocking (original): 0.0713089, buffer size: 65715, reallocated: 5594, Average try per allocated element: 826.67, Average service time: 84.9508, Average service time (ALL): 91.2489, Average buffer size: 32529.2, searchDepth: 5, maxBufferSize: 2147483647, pushed: 306101
W/Buffer erlang index: 9, erlang: 5500, BBP: 0.228577, general blocking: 0.075248, general blocking (original): 0.0782669, buffer size: 75248, reallocated: 3019, Average try per allocated element: 1449.28, Average service time: 72.2454, Average service time (ALL): 86.9672, Average buffer size: 37430.8, searchDepth: 5, maxBufferSize: 2147483647, pushed: 384368

SD = 10
W/Buffer erlang index: 10, erlang: 6000, BBP: 0.253823, general blocking: 0.084505, general blocking (original): 0.0863159, buffer size: 84505, reallocated: 1811, Average try per allocated element: 2362.73, Average service time: 52.0862, Average service time (ALL): 80.9208, Average buffer size: 41902, searchDepth: 5, maxBufferSize: 2147483647, pushed: 470684
W/Buffer erlang index: 0, erlang: 1000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 10, maxBufferSize: 2147483647, pushed: 470684
W/Buffer erlang index: 1, erlang: 1500, BBP: 0, general blocking: 0, general blocking (original): 4.5e-05, buffer size: 0, reallocated: 45, Average try per allocated element: 19.5778, Average service time: 0.0131276, Average service time (ALL): 0.0131276, Average buffer size: 0.000885977, searchDepth: 10, maxBufferSize: 2147483647, pushed: 470729
W/Buffer erlang index: 2, erlang: 2000, BBP: 0, general blocking: 0, general blocking (original): 0.0016, buffer size: 0, reallocated: 1600, Average try per allocated element: 42.9531, Average service time: 0.0214773, Average service time (ALL): 0.0214773, Average buffer size: 0.0687167, searchDepth: 10, maxBufferSize: 2147483647, pushed: 472329
